title,description,categories
Ethan Frome,"*Edith Wharton wrote Ethan Frome as a frame story — meaning that the prologue and epilogue constitute a ""frame"" around the main story*

**How It All Goes Down**
It's winter. A nameless engineer is in Starkfield, Massachusetts on business and he first sees Ethan Frome at the post office. Ethan is a man in his early fifties who is obviously strong, and obviously crippled. The man becomes fascinated with Ethan and wants to know his story. When Ethan begins giving him occasional rides to the train station, the two men strike up a friendship. One night when the weather is particularly bad, Ethan invites the man to stay at his house. In the hall the man hears a woman talking angrily, on and on. When Ethan speaks, the voice stops. The man tells us that he learned something that night which allowed him to imagine Ethan's story. Now we go back in time 24 years and learn about Ethan's life.

Ethan has walked from his farm and sawmill into town to pick up Mattie Silver from the church dance. He peeks in the windows of the church basement and sees Mattie dancing with Denis Eady and is jealous. Mattie is Ethan's wife's cousin. Her parents both died just over a year ago, and she was left with nothing. Her father had apparently swindled some of the relatives out of their savings, so nobody wanted to help Mattie. Zeena, Ethan's wife, is always sick, and decided to let Mattie live with them in exchange for doing the housework and helping the ailing Zeena.

Ethan liked Mattie from the beginning and worried that Zeena was too hard on her. The two women soon adjusted to each other (sort of) and things weren't as bad as they could have been. Meanwhile, Ethan has fallen in love with Mattie and wants to spend all his time with her.

Mattie soon comes out of the dance, and Ethan watches while Denis Eady tries to give her a ride home. She brushes him off and then Ethan reveals his presence. Ethan and Mattie are happy to see each other. They discuss possibly doing some sledding in the future. Neither is afraid to sled down the hill – at the bottom of which lies the deadly elm tree. The walk home is altogether lovely and romantic, but when they arrive, the house key isn't under the mat like it usually is.

Soon, Zeena, looking ill and scary, comes downstairs and lets them in. She's usually in bed by this hour but she couldn't sleep. She is obviously suspicious of their behavior. The next day she announces that she will be gone overnight visiting a new doctor. Mattie and Ethan make good use of her absence and enjoy a romantic dinner for two. Unfortunately, the cat breaks Zeena's favorite dish and Ethan isn't able to locate any glue until after Zeena gets back. The first thing Zeena does when she gets home is to tell Ethan that she's kicking out Mattie. He protests, but fighting is useless. Then Zeena finds the broken pickle dish and is super upset (it had been a wedding gift).

Ethan decides he'll run away with Mattie, but then a combination of lack of cash and guilt stop him. Still, he insists on driving Mattie to the train station. He takes her on the long route, so they can look at different places they enjoyed together. By the time they get to the town sledding hill, it's already dark. As they are contemplating sledding, and pondering the hopelessness of their situation, Mattie suggests that they sled into the elm tree and kill themselves. Ethan agrees and they smash into the tree. But they survive.

Then the story goes back to the present and we find the engineer right where we left him, about to enter the Frome kitchen. When he does enter he learns that the woman who was talking on and on in an argumentative tone is…Mattie! She has spinal disease and can't move without assistance. Zeena is there too, cooking. They all three live together, an unhappy family in the Frome house.


----------
Also contained in: 

 - [Age of Innocence / The House of Mirth / Ethan Frome](https://openlibrary.org/works/OL20577050W)
 - [Edith Wharton Reader](https://openlibrary.org/works/OL98540W/The_Edith_Wharton_reader)
 - [Ethan Frome and Other Stories](https://openlibrary.org/works/OL15000117W/Ethan_Frome_and_other_stories)
 - [Ethan Frome and Related Readings][1]
 - [Ethan Frome and Selected Stories](https://openlibrary.org/works/OL15000119W/Ethan_Frome_and_Selected_Stories)
 - [Edith Wharton Omnibus](https://openlibrary.org/works/OL98499W/The_Edith_Wharton_Omnibus)
 - [Ethan Frome with Connections](https://openlibrary.org/works/OL15000126W/Ethan_Frome_with_Connections)
 - [The Hermit and the Wild Woman and other stories / Ethan Frome](https://openlibrary.org/works/OL13131348W/Ethan_Frome_The_Hermit_and_the_Wild_Woman_and_other_stories)
 - [Novellas and Other Writings](https://openlibrary.org/works/OL15000211W/Novellas_and_other_writings)
 - [Three Classics by American Women][2]
 - [Three Novels](https://openlibrary.org/works/OL15000264W/Three_Novels)
 - [Works of Edith Wharton](https://openlibrary.org/works/OL98524W/Works_of_Edith_Wharton)

  [1]: https://openlibrary.org/works/OL16061406W/Ethan_Frome_and_Related_Readings
  [2]: https://openlibrary.org/works/OL15514881W/Three_Classics_by_American_Women_(The_Awakening_Ethan_Frome_O_Pioneers!",accident victims
The Tale of Genji,,near and far eastern fiction (fictional works by one author)
The Giver,"At the age of twelve, Jonas, a young boy from a seemingly utopian, futuristic world, is singled out to receive special training from The Giver, who alone holds the memories of the true joys and pain of life.",social control
The Alchemist,"Combining magic, mysticism, wisdom and wonder into an inspiring tale of self-discovery, The Alchemist has become a modern classic, selling millions of copies around the world and transforming the lives of countless readers across generations.

Paulo Coelho's masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different—and far more satisfying—than he ever imagined. Santiago's journey teaches us about the essential wisdom of listening to our hearts, of recognizing opportunity and learning to read the omens strewn along life's path, and, most importantly, to follow our dreams.",translations into indonesian
The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson’s famous gothic novella, first published in 1886, and filmed countless times is better known simply as Jekyll and Hyde. The first novel to toy with the idea of a split personality, it features the respectable Dr. Jekyll transforming himself into the evil Mr Hyde in a failed attempt to learn more about the duality of man.",fiction
Robinson Crusoe,"The Life and Strange Surprising Adventures of Robinson Crusoe, Of York, Mariner: Who lived Eight and Twenty Years, all alone in an un-inhabited Island on the Coast of America, near the Mouth of the Great River of Oroonoque; Having been cast on Shore by Shipwreck, wherein all the Men perished but himself. With An Account how he was at last as strangely deliver'd by Pyrates.",robinson cusoe
Tender is the Night,"A psychiatrist, Dick Diver, treats and eventually marries a wealthy patient, Nicole.  Eventually, this marriage destroys him.",fiction
The Idiot,"Embarking on her freshman year at Harvard in the early tech days of the 1990s, a young artist and daughter of Turkish immigrants begins a correspondence with an older mathematics student from Hungary while struggling with her changing sense of self, first love and a daunting career prospect.",fiction
Hatchet,"Brian Robison, a teenage boy struggling through his parents divorce, is flying up north to stay with his dad for the summer. However, his plane crashes and he is forced to survive the Canadian wilderness. Now living in a world completely opposite of his own, he is now able to discover himself in this forsaken and misunderstood beautiful world.

The story is continued in ""The River"" ""Brian's Winter"" ""Brian's Return"" and ""The Hunt""",divorce
The Kite Runner,"The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, The Kite Runner is a beautifully crafted novel set in a country that is in the process of being destroyed. It is about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.

A sweeping story of family, love, and friendship told against the devastating backdrop of the history of Afghanistan over the last thirty years, The Kite Runner is an unusual and powerful novel that has become a beloved, one-of-a-kind classic.
([source][1])


  [1]: https://khaledhosseini.com/books/the-kite-runner/",new york times bestseller
One Flew Over the Cuckoo's Nest,"One Flew Over the Cuckoo's Nest is a novel written by Ken Kesey. Set in an Oregon psychiatric hospital, the narrative serves as a study of institutional processes and the human mind; including a critique of psychiatry, and a tribute to individualistic principles",allegories
The Portrait of a Lady,"Een rijke Amerikaanse jonge vrouw met een sterke drang naar onafhankelijkheid blijft, ondanks alles wat ze in de loop van haar huwelijk over hem te weten komt, haar onbekrompen maar oppervlakkige echtgenoot trouw.",fiction
